"name","lat","long","depict"
"ニンバ山",7.603,-8.391,"http://commons.wikimedia.org/wiki/Special:FilePath/Voa_Guinea_chimpanzee_picking_30jan08.jpg"
"歴史的城塞都市",9.31111,42.1278,"http://commons.wikimedia.org/wiki/Special:FilePath/Town_of_Harar_with_Citywall.jpg"
"ハラール・ジュゴル",9.31111,42.1278,"http://commons.wikimedia.org/wiki/Special:FilePath/Town_of_Harar_with_Citywall.jpg"
"バンディアガラの断崖（ドゴン人の地）",14.3589,-3.595,"http://commons.wikimedia.org/wiki/Special:FilePath/Bandiagara_Escarpment_Mali.jpg"
"ゴンダール地域の",12.6081,37.4697,"http://commons.wikimedia.org/wiki/Special:FilePath/FasilidasPalaceGonder.jpg"
"ファジル・ゲビ",12.6081,37.4697,"http://commons.wikimedia.org/wiki/Special:FilePath/FasilidasPalaceGonder.jpg"
"ケープ植物区",-34.1667,18.375,"http://commons.wikimedia.org/wiki/Special:FilePath/Fynbos.jpg"
"保護地域群",-34.1667,18.375,"http://commons.wikimedia.org/wiki/Special:FilePath/Fynbos.jpg"
"ブウィンディ",-1.05,29.7167,"http://commons.wikimedia.org/wiki/Special:FilePath/Bwindi.JPG"
"原生国立公園",-1.05,29.7167,"http://commons.wikimedia.org/wiki/Special:FilePath/Bwindi.JPG"
"ブルー・ナ・ボーニャ -",53.6928,-6.44932,"http://commons.wikimedia.org/wiki/Special:FilePath/Newgrange_burial_chamber.jpg"
"ボイン渓谷の遺跡群",53.6928,-6.44932,"http://commons.wikimedia.org/wiki/Special:FilePath/Newgrange_burial_chamber.jpg"
"ベニ・ハンマードの",35.8211,4.78944,"http://commons.wikimedia.org/wiki/Special:FilePath/Kalaa_des_Beni_Hammad.5.jpg"
"城塞",35.8211,4.78944,"http://commons.wikimedia.org/wiki/Special:FilePath/Kalaa_des_Beni_Hammad.5.jpg"
"リスボンのジェロニモス修道院とベレンの塔",38.6917,-9.21583,"http://commons.wikimedia.org/wiki/Special:FilePath/Lisboa_Lisbon_Lissabon.jpg"
"マトボの丘",-20.55,28.5081,"http://commons.wikimedia.org/wiki/Special:FilePath/Balancing_Rocks_in_Matopos_National_Park.jpg"
"サピサファリ地域、",-15.75,29.3333,"http://commons.wikimedia.org/wiki/Special:FilePath/ZmbziRvr.jpg"
"チュウォールサファリ地域",-15.75,29.3333,"http://commons.wikimedia.org/wiki/Special:FilePath/ZmbziRvr.jpg"
"マナプールズ国立公園、",-15.75,29.3333,"http://commons.wikimedia.org/wiki/Special:FilePath/ZmbziRvr.jpg"
"マノヴォ＝グンダ・サン・フローリス国立公園",9.0,21.5,"http://ja.wikipedia.org/wiki/Special:FilePath/GazouBoshu.png"
"文化的景観",-22.1925,29.2389,"http://commons.wikimedia.org/wiki/Special:FilePath/Mapungubwe_hill_limpopo.jpg"
"マプングブエの",-22.1925,29.2389,"http://commons.wikimedia.org/wiki/Special:FilePath/Mapungubwe_hill_limpopo.jpg"
"マラウイ湖国立公園",-14.0333,34.8833,"http://commons.wikimedia.org/wiki/Special:FilePath/Lake_Malawi,_view_from_Likoma_Island.jpg"
"ムザブの谷",32.4872,3.68139,"http://commons.wikimedia.org/wiki/Special:FilePath/Ghardaia.jpg"
"メンフィスとその墓地遺跡 - ギーザからダハシュールまでのピラミッド地帯",29.9761,31.1304,"http://ja.wikipedia.org/wiki/Special:FilePath/All_Gizah_Pyramids.jpg"
"モザンビーク島",-15.0367,40.7328,"http://commons.wikimedia.org/wiki/Special:FilePath/Ilha_de_Moçambique.jpg"
"ラリベラの岩窟教会群",12.0316,39.0411,"http://commons.wikimedia.org/wiki/Special:FilePath/Bete_Giyorgis_Lalibela_Ethiopia.jpg"
"国立公園",0.366667,29.95,"http://commons.wikimedia.org/wiki/Special:FilePath/Rwenzori_mountains_FP.jpg"
"ルウェンゾリ山地",0.366667,29.95,"http://commons.wikimedia.org/wiki/Special:FilePath/Rwenzori_mountains_FP.jpg"
"考古遺跡",32.6392,14.2906,"http://commons.wikimedia.org/wiki/Special:FilePath/Leptis_Magna_Arch_of_Septimus_Severus.jpg"
"レプティス・マグナの",32.6392,14.2906,"http://commons.wikimedia.org/wiki/Special:FilePath/Leptis_Magna_Arch_of_Septimus_Severus.jpg"
"国立公園",-50.0,-73.2494,"http://commons.wikimedia.org/wiki/Special:FilePath/SantaCruz-LosGlaciares-P2150249b.jpg"
"ロス・グラシアレス",-50.0,-73.2494,"http://commons.wikimedia.org/wiki/Special:FilePath/SantaCruz-LosGlaciares-P2150249b.jpg"
"ヴァレ・ド・メ自然保護区",-4.32917,55.7375,"http://commons.wikimedia.org/wiki/Special:FilePath/Valleé_de_mai2.jpg"
"ヴィエリチカとボフニアの王立岩塩坑群",49.9792,20.0639,"http://commons.wikimedia.org/wiki/Special:FilePath/Wieliczka.jpg"
"ヴィルンガ国立公園",-0.916667,29.1667,"http://commons.wikimedia.org/wiki/Special:FilePath/Nyiragongo2004.jpg"
"ヴェルラ砕木・板紙工場",61.0625,26.6375,"http://commons.wikimedia.org/wiki/Special:FilePath/Serla_museum.jpg"
"考古遺跡",34.0711,-5.55361,"http://commons.wikimedia.org/wiki/Special:FilePath/Volubilis_moulay_idris.jpg"
"ヴォルビリスの",34.0711,-5.55361,"http://commons.wikimedia.org/wiki/Special:FilePath/Volubilis_moulay_idris.jpg"
"ジャイアントパンダ保護区",30.8333,103.0,"http://commons.wikimedia.org/wiki/Special:FilePath/Chengdu-pandas-d10.jpg"
"四川省の",30.8333,103.0,"http://commons.wikimedia.org/wiki/Special:FilePath/Chengdu-pandas-d10.jpg"
"アクスム",14.1167,38.7333,"http://commons.wikimedia.org/wiki/Special:FilePath/Axum_northern_stelea_park.jpg"
"イチャン・カラ",41.378,60.364,"http://commons.wikimedia.org/wiki/Special:FilePath/KhivaWalls.jpg"
"イヴァノヴォの",43.7167,25.9667,"http://commons.wikimedia.org/wiki/Special:FilePath/Churches_of_Ivanovo_S.jpg"
"岩窟教会群",43.7167,25.9667,"http://commons.wikimedia.org/wiki/Special:FilePath/Churches_of_Ivanovo_S.jpg"
"その城壁群",31.7767,35.2342,"http://commons.wikimedia.org/wiki/Special:FilePath/Jerusalem_Oesterreichisches_Hospiz_2.JPG"
